,scores
0,0.7026811481559081
1,0.707821905796526
2,0.7113758709849916
3,0.7114264883092158
4,0.7172160280865191
5,0.7222172227606257
6,0.7262666842512842
7,0.7268127246829004
8,0.7270172446211287
9,0.7279880490031985
