,scores
0,0.6433696380697052
1,0.6588659597682552
2,0.6625344196718025
3,0.6633989148475642
4,0.6656339561885801
5,0.6661014164992209
6,0.6671248281894289
7,0.6716749283911219
8,0.6795568155131345
9,0.688322788305022
