,scores
0,0.6281977779937161
1,0.633266569375768
2,0.6403963612735544
3,0.6492847864979454
4,0.6530203258998147
5,0.6531417231900324
6,0.6545688758236858
7,0.6575521842465577
8,0.6582733099848015
9,0.700831102186524
