,scores
0,0.6669750278030533
1,0.6726722291958946
2,0.6733869011732257
3,0.6751591135649108
4,0.6951025305973477
5,0.6957477639534303
6,0.7017525205985304
7,0.7060046337575315
8,0.7061415794633746
9,0.7092390227940101
