,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7125625957859317
1,10,10,2,4,0.7010941873854363
2,10,10,2,6,0.7034886616061602
3,10,10,2,8,0.7001080690329551
4,10,10,4,2,0.7094455023101519
5,10,10,4,4,0.6989163191852041
6,10,10,4,6,0.7032693686920882
7,10,10,4,8,0.7086487311389575
8,10,10,6,2,0.7049921345218024
9,10,10,6,4,0.701421633697053
10,10,10,6,6,0.701835963446683
11,10,10,6,8,0.7012918537061298
12,10,10,8,2,0.7042597781274358
13,10,10,8,4,0.6980850347496187
14,10,10,8,6,0.7000500737164111
15,10,10,8,8,0.6949520372553302
16,10,12,2,2,0.7067154593628823
17,10,12,2,4,0.7042272784743601
18,10,12,2,6,0.7087692079750006
19,10,12,2,8,0.7076571829356174
20,10,12,4,2,0.710751512734042
21,10,12,4,4,0.7031111664533923
22,10,12,4,6,0.7010610744023998
23,10,12,4,8,0.7032847957346573
24,10,12,6,2,0.7008516236462233
25,10,12,6,4,0.7079996267136354
26,10,12,6,6,0.7028352231435019
27,10,12,6,8,0.7014159782634571
28,10,12,8,2,0.7036561054898415
29,10,12,8,4,0.7004315244756801
30,10,12,8,6,0.7057371012225936
31,10,12,8,8,0.702721625560836
32,10,14,2,2,0.7080507425893261
33,10,14,2,4,0.7046240102601476
34,10,14,2,6,0.7036167214754996
35,10,14,2,8,0.7045456331762233
36,10,14,4,2,0.7082263787520552
37,10,14,4,4,0.7098770261273488
38,10,14,4,6,0.7006743923475285
39,10,14,4,8,0.7011467925579375
40,10,14,6,2,0.7073693011093228
41,10,14,6,4,0.6998756379580445
42,10,14,6,6,0.6993247904689409
43,10,14,6,8,0.7062527326891606
44,10,14,8,2,0.7063458315471829
45,10,14,8,4,0.7059156022986935
46,10,14,8,6,0.7022615143163687
47,10,14,8,8,0.7032563628103444
48,10,16,2,2,0.7098760325696182
49,10,16,2,4,0.7062368520638987
50,10,16,2,6,0.7092129875921008
51,10,16,2,8,0.7062130984019633
52,10,16,4,2,0.7005092490801038
53,10,16,4,4,0.7049164757454514
54,10,16,4,6,0.7042076198013277
55,10,16,4,8,0.7038514261921295
56,10,16,6,2,0.708723446638274
57,10,16,6,4,0.7101272630491682
58,10,16,6,6,0.7055015033957729
59,10,16,6,8,0.7066261395446567
60,10,16,8,2,0.7044490320100811
61,10,16,8,4,0.7054191711383556
62,10,16,8,6,0.6992451803923935
63,10,16,8,8,0.7062041382123496
64,10,18,2,2,0.7107546225442731
65,10,18,2,4,0.7082577801821701
66,10,18,2,6,0.7089822479036556
67,10,18,2,8,0.7047610050550815
68,10,18,4,2,0.704567520455822
69,10,18,4,4,0.7013271432214955
70,10,18,4,6,0.7066022192961635
71,10,18,4,8,0.7025449757337138
72,10,18,6,2,0.7028414679718381
73,10,18,6,4,0.7069680780476277
74,10,18,6,6,0.7117141132911957
75,10,18,6,8,0.7063454221646874
76,10,18,8,2,0.7029255715703687
77,10,18,8,4,0.7112692442715064
78,10,18,8,6,0.7082542354077108
79,10,18,8,8,0.7094237661498216
80,12,10,2,2,0.7115830957653927
81,12,10,2,4,0.7106034351097721
82,12,10,2,6,0.6996724201801247
83,12,10,2,8,0.7004534527807404
84,12,10,4,2,0.7074739325011383
85,12,10,4,4,0.6993328238514646
86,12,10,4,6,0.7007979519888109
87,12,10,4,8,0.701980274380281
88,12,10,6,2,0.7106859605519422
89,12,10,6,4,0.7141816666661986
90,12,10,6,6,0.6963494034112748
91,12,10,6,8,0.7006961389121812
92,12,10,8,2,0.7129324547713066
93,12,10,8,4,0.7025514092393572
94,12,10,8,6,0.6992834017194491
95,12,10,8,8,0.70483558618731
96,12,12,2,2,0.7132865052058642
97,12,12,2,4,0.7063684287239113
98,12,12,2,6,0.7077273632234232
99,12,12,2,8,0.70523879236555
100,12,12,4,2,0.7155502463705709
101,12,12,4,4,0.7098056767229011
102,12,12,4,6,0.7116740304007211
103,12,12,4,8,0.7034454750414914
104,12,12,6,2,0.7114860824849676
105,12,12,6,4,0.715002849613378
106,12,12,6,6,0.706847295157333
107,12,12,6,8,0.7119670365987311
108,12,12,8,2,0.7107381652987712
109,12,12,8,4,0.710830257642102
110,12,12,8,6,0.7060328241055212
111,12,12,8,8,0.7014160058731681
112,12,14,2,2,0.7188818955580945
113,12,14,2,4,0.7031472334886506
114,12,14,2,6,0.7073198690095922
115,12,14,2,8,0.7043926860453945
116,12,14,4,2,0.7159617794061193
117,12,14,4,4,0.712855097484329
118,12,14,4,6,0.7111346317174894
119,12,14,4,8,0.7061065992228545
120,12,14,6,2,0.717757441498236
121,12,14,6,4,0.7119586833963307
122,12,14,6,6,0.7113052009526003
123,12,14,6,8,0.7066028443651028
124,12,14,8,2,0.7139824160610325
125,12,14,8,4,0.7141656306046221
126,12,14,8,6,0.7083532364580821
127,12,14,8,8,0.7027379089063053
128,12,16,2,2,0.7162387909696503
129,12,16,2,4,0.7130906214463643
130,12,16,2,6,0.7127559972795762
131,12,16,2,8,0.7068156533997336
132,12,16,4,2,0.7149635531162613
133,12,16,4,4,0.7124815400835317
134,12,16,4,6,0.7113598405757728
135,12,16,4,8,0.707350776127844
136,12,16,6,2,0.7201417744485635
137,12,16,6,4,0.7174267096486782
138,12,16,6,6,0.7071617133930644
139,12,16,6,8,0.7086492910845159
140,12,16,8,2,0.7149812666273746
141,12,16,8,4,0.7087380786271988
142,12,16,8,6,0.7089967180807637
143,12,16,8,8,0.7074868460243285
144,12,18,2,2,0.7178580573750754
145,12,18,2,4,0.7112100048006421
146,12,18,2,6,0.7169451333462518
147,12,18,2,8,0.7147799278454707
148,12,18,4,2,0.7171701687037949
149,12,18,4,4,0.7079123334942926
150,12,18,4,6,0.7129313822611528
151,12,18,4,8,0.7107715466562596
152,12,18,6,2,0.7134332444628327
153,12,18,6,4,0.7155388040579429
154,12,18,6,6,0.7113475779536751
155,12,18,6,8,0.7103356826339743
156,12,18,8,2,0.7167067465312232
157,12,18,8,4,0.7110520435158575
158,12,18,8,6,0.7121524522380186
159,12,18,8,8,0.7108319772639516
160,14,10,2,2,0.710051695601115
161,14,10,2,4,0.7138008826839696
162,14,10,2,6,0.7100233024672726
163,14,10,2,8,0.7070889599458329
164,14,10,4,2,0.7122401507207474
165,14,10,4,4,0.7031032924392114
166,14,10,4,6,0.7010862166911283
167,14,10,4,8,0.6989420537104639
168,14,10,6,2,0.7107058288693384
169,14,10,6,4,0.7076516889677915
170,14,10,6,6,0.7092148284938276
171,14,10,6,8,0.7040612483098961
172,14,10,8,2,0.7117377522363421
173,14,10,8,4,0.70254049394728
174,14,10,8,6,0.7028798822372
175,14,10,8,8,0.7080579314940957
176,14,12,2,2,0.7130466456238845
177,14,12,2,4,0.714081907478572
178,14,12,2,6,0.7103850864548039
179,14,12,2,8,0.7047756295014124
180,14,12,4,2,0.716840505369559
181,14,12,4,4,0.7121623652866721
182,14,12,4,6,0.7133278456969875
