,scores
0,0.5754996186117467
1,0.5725750552540828
2,0.5888929995478275
3,0.5797520163717347
4,0.5790968421768244
5,0.5745657462699263
6,0.594690925107147
7,0.5630144779959748
8,0.5804592216038096
9,0.5753619463287941
