,scores
0,0.6741256945417191
1,0.6889502202866258
2,0.6927265721699577
3,0.6936175702801152
4,0.696358469715308
5,0.696662335946814
6,0.7015508472802618
7,0.7025461558171838
8,0.7206715206860378
9,0.7276059509834455
