,p_t1,p_t2,p_t3,p_t4,t,score,rmse
0,5,100,10,10,7,0.5015531475503265,0.48952884880104164
1,10,100,10,10,7,0.5093615181192174,0.4859220876696133
2,20,100,10,10,7,0.5157885259135333,0.4829802349728354
3,50,100,10,10,7,0.5144854547915324,0.484659626494663
4,75,100,10,10,7,0.5124184634930568,0.48490723302124034
5,100,100,10,10,7,0.5062645672158381,0.4873918652523665
6,125,100,10,10,7,0.5013846282991157,0.4896120927263203
7,150,100,10,10,7,0.5014518094803985,0.489518997133293
8,175,100,10,10,7,0.5017385750876122,0.4894382279038034
9,200,100,10,10,7,0.5019279235497084,0.48934531021366295
10,225,100,10,10,7,0.5014205656640706,0.48953342026381114
