,p_t1,p_t2,p_t3,p_t4,t,score,rmse
0,5,100,10,10,6,0.5374075518523219,0.608474623233389
1,10,100,10,10,6,0.5742091073498277,0.584691944251164
2,20,100,10,10,6,0.6078584557821306,0.5630652728089747
3,50,100,10,10,6,0.6549748226531411,0.533198147159768
4,75,100,10,10,6,0.6507663353526384,0.5370795958059559
5,100,100,10,10,6,0.6223543186230386,0.5573208712897892
6,125,100,10,10,6,0.5999803281656064,0.5715609585129254
7,150,100,10,10,6,0.5977283087558921,0.5730428714482151
8,175,100,10,10,6,0.5964830050898563,0.5740340248706085
9,200,100,10,10,6,0.5964192217378043,0.5741866325232138
10,225,100,10,10,6,0.5956895522532432,0.5746046020967914
